genus,species,latitude,longitude,doy,day,month,year,lma,narea,vcmax,jmax,tleaf,ca,ca_real,origdata,dataset,contributor,precipitation_gs,temperature_gs,vpd_gs,par_gs,alpha,z,sand_top40,silt_top40,clay_top40,bulkD_top40,waterC_top40,pH_top40,orgC_top40,totN_top40,CN_top40,CECS_top40,open



Dupontia,fisheri,71.32,-156.62,NA,NA,NA,NA,NA,NA,14.48430936,58.57690412,7.143312968,387.2014771,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Dupontia,fisheri,71.32,-156.62,NA,NA,NA,NA,NA,NA,15.04943817,63.34208545,8.279986895,391.9814758,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Eriophorum,angustifolium,71.32,-156.62,NA,NA,NA,NA,NA,NA,17.64732355,64.20341959,9.580282916,382.9474488,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Carex,aquatilis,71.32,-156.62,NA,NA,NA,NA,NA,NA,18.19049011,74.49031534,6.676010905,394.0479126,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Eriophorum,angustifolium,71.32,-156.62,NA,NA,NA,NA,NA,NA,18.29551468,66.38598507,9.195917509,386.6668091,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Carex,aquatilis,71.32,-156.62,NA,NA,NA,NA,NA,NA,18.49856393,70.22116249,9.664963753,384.443512,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



Eriophorum,angustifolium,71.32,-156.62,NA,NA,NA,NA,NA,NA,18.69345231,73.12151367,8.425838073,383.3727722,T,Rogers_GVSP.csv_curve_species.csv_temp.csv_final.csv,dekauwe,Rogers,18.12842262,3.232291667,0.104022671,730.2153866,0.571844556,8,49.45,34.6,15.95,1.188499999,19.95,6.839999914,40.32550069,3.720999986,13,27.05,y



